Country,Index,Category,BEV,PHEV,H2,LPG,CNG,LNG
AT,0,2008,,,,,,
AT,1,2009,0.01,,,,,
AT,2,2010,0.01,,,,,
AT,3,2011,0.02,,,,0.06,
AT,4,2012,0.03,0.0,,,0.07,
AT,5,2013,0.04,0.01,,,0.08,
AT,6,2014,0.07,0.02,0.0,,0.09,
AT,7,2015,0.11,0.03,0.0,,0.1,
AT,8,2016,0.19,0.05,0.0,0.01,0.1,
AT,9,2017,0.3,0.08,0.0,0.01,0.11,
AT,10,2018,0.42,0.11,0.0,0.01,0.11,
AT,11,2019,0.59,0.16,0.0,0.01,0.11,
AT,12,2020,0.87,0.3,0.0,0.01,0.11,
AT,13,2021,1.49,0.57,0.0,0.01,0.11,
AT,14,2022,2.14,0.82,0.0,0.01,0.1,
AT,15,2023,3.0,1.13,0.0,0.01,0.09,
CH,0,2008,,,,,,
CH,1,2009,,,,0.07,,
CH,2,2010,0.0,,,0.08,,
CH,3,2011,0.01,0.0,,0.07,,
CH,4,2012,0.02,0.01,,0.02,0.19,
CH,5,2013,0.05,0.01,,0.01,0.26,
CH,6,2014,0.08,0.03,,0.0,0.26,
CH,7,2015,0.15,0.09,0.0,0.0,0.26,
CH,8,2016,0.21,0.14,0.0,0.0,0.28,
CH,9,2017,0.3,0.21,0.0,0.0,0.29,
CH,10,2018,0.42,0.3,0.0,0.0,0.31,
CH,11,2019,0.7,0.39,0.0,0.0,0.32,
CH,12,2020,0.92,0.69,0.0,0.0,0.33,
CH,13,2021,1.5,1.14,0.0,0.0,0.32,
CH,14,2022,2.3,1.51,0.01,0.0,0.32,
CH,15,2023,3.33,1.97,0.01,0.0,0.31,
DK,0,2008,,,,,,
DK,1,2009,,,,,,
DK,2,2010,,,,,,
DK,3,2011,,,,,,
DK,4,2012,0.04,0.0,,0.01,0.0,
DK,5,2013,0.06,0.0,0.0,0.0,0.0,
DK,6,2014,0.13,0.01,0.0,0.0,0.0,
DK,7,2015,0.31,0.02,0.0,0.0,0.0,
DK,8,2016,0.35,0.03,0.0,0.0,0.0,
DK,9,2017,0.37,0.05,0.0,0.0,0.01,
DK,10,2018,0.42,0.17,0.0,0.0,0.01,
DK,11,2019,0.62,0.32,0.0,0.0,0.0,
DK,12,2020,1.12,0.98,0.01,0.0,0.0,
DK,13,2021,2.26,2.48,0.01,0.0,0.0,
DK,14,2022,4.03,3.48,0.01,0.0,0.0,
DK,15,2023,7.0,4.3,0.01,0.0,0.0,
NL,0,2008,,,,,,
NL,1,2009,,,,3.01,,
NL,2,2010,,,,2.87,,
NL,3,2011,,,,2.69,,
NL,4,2012,0.03,,,2.58,0.07,
NL,5,2013,0.05,0.31,,2.55,0.08,
NL,6,2014,0.09,0.46,,2.34,0.12,
NL,7,2015,0.12,0.96,,2.08,0.13,
NL,8,2016,0.16,1.17,0.0,1.75,0.04,
NL,9,2017,0.25,1.16,0.0,1.59,0.04,
NL,10,2018,0.52,1.12,0.0,1.42,0.12,
NL,11,2019,1.21,1.06,0.0,1.51,0.12,0.0
NL,12,2020,1.96,1.14,0.0,1.41,0.11,0.0
NL,13,2021,2.76,1.56,0.01,1.23,0.1,0.0
NL,14,2022,3.69,2.1,0.01,1.18,0.08,0.0
NL,15,2023,4.95,2.95,0.01,1.16,0.03,0.0
NO,0,2008,,,,,,
NO,1,2009,0.06,,,0.12,,
NO,2,2010,0.08,,,0.11,,
NO,3,2011,0.17,0.0,,0.12,,
NO,4,2012,0.27,0.01,,0.11,0.01,
NO,5,2013,0.62,0.02,0.0,0.02,0.0,
NO,6,2014,1.66,0.08,0.0,0.02,0.01,
NO,7,2015,2.81,0.39,0.0,0.02,0.01,
NO,8,2016,3.8,1.16,0.0,0.02,0.0,
NO,9,2017,5.09,2.18,0.0,,0.01,
NO,10,2018,7.27,3.14,0.01,,0.01,
NO,11,2019,9.56,3.77,0.01,,0.01,
NO,12,2020,11.82,4.58,0.01,,0.01,
NO,13,2021,15.66,5.75,0.01,,0.01,
NO,14,2022,20.27,6.14,0.01,,0.01,
NO,15,2023,22.01,6.08,0.01,,0.01,
SE,0,2008,,,,,,
SE,1,2009,0.0,,,0.01,0.46,
SE,2,2010,0.0,,,0.01,0.63,
SE,3,2011,0.01,,,0.01,0.75,
SE,4,2012,0.01,0.01,,0.01,0.87,
SE,5,2013,0.02,0.04,,0.0,0.83,
SE,6,2014,0.05,0.11,,0.0,0.87,
SE,7,2015,0.1,0.21,0.0,0.0,0.91,
SE,8,2016,0.16,0.4,0.0,0.0,0.92,
SE,9,2017,0.23,0.67,0.0,0.0,0.9,
SE,10,2018,0.34,1.01,0.0,0.0,0.87,
SE,11,2019,0.62,1.36,0.0,0.0,0.85,
SE,12,2020,1.18,2.68,0.0,0.0,0.89,
SE,13,2021,2.32,4.22,0.0,0.0,0.87,
SE,14,2022,4.22,5.55,0.0,0.0,0.91,
SE,15,2023,5.86,5.47,0.0,0.0,0.73,
