Country,Index,Category,BEV,PHEV,H2,LPG,CNG,LNG
AT,0,2008,0,0,,,1381.0,
AT,1,2009,25,0,,,466.0,
AT,2,2010,112,0,,,333.0,
AT,3,2011,631,2,,,444.0,
AT,4,2012,427,267,,,460.0,
AT,5,2013,656,80,,,628.0,
AT,6,2014,1344,209,6.0,,788.0,
AT,7,2015,1699,984,4.0,0.0,703.0,
AT,8,2016,3806,1182,,121.0,484.0,
AT,9,2017,5398,1820,2.0,,435.0,
AT,10,2018,6774,2130,7.0,,641.0,
AT,11,2019,9242,2766,19.0,2.0,578.0,
AT,12,2020,15955,7762,14.0,0.0,407.0,
AT,13,2021,33379,14633,14.0,3.0,78.0,
AT,14,2022,33768,13271,14.0,4.0,59.0,
AT,15,2023,47614,16410,9.0,5.0,6.0,
AT,16,2024,44622,16928,1.0,1.0,12.0,
AT,17,2025,8056,3255,0.0,,,
CH,0,2008,0,0,,,1012.0,
CH,1,2009,21,0,,,1341.0,
CH,2,2010,123,0,,,885.0,
CH,3,2011,398,38,,,932.0,
CH,4,2012,463,394,,,502.0,
CH,5,2013,994,166,,,781.0,
CH,6,2014,1476,638,,,1019.0,
CH,7,2015,3823,2217,10.0,0.0,1034.0,
CH,8,2016,3445,2001,26.0,180.0,936.0,
CH,9,2017,4913,3292,1.0,,760.0,
CH,10,2018,5389,4059,22.0,2.0,803.0,
CH,11,2019,13100,4250,25.0,,1249.0,
CH,12,2020,19311,14385,42.0,1.0,562.0,
CH,13,2021,31676,21813,66.0,2.0,270.0,
CH,14,2022,40001,18353,72.0,1.0,122.0,
CH,15,2023,52540,23021,27.0,,72.0,
CH,16,2024,45629,18916,0.0,,35.0,
CH,17,2025,6278,2818,1.0,,5.0,
DK,0,2008,0,0,0.0,,,
DK,1,2009,31,0,0.0,,,
DK,2,2010,20,0,0.0,,,
DK,3,2011,415,0,0.0,,,
DK,4,2012,471,33,0.0,,,
DK,5,2013,497,7,16.0,,,
DK,6,2014,1569,21,11.0,,110.0,
DK,7,2015,4133,123,30.0,,53.0,
DK,8,2016,1219,157,16.0,,63.0,
DK,9,2017,710,240,14.0,,47.0,
DK,10,2018,1502,3180,5.0,,7.0,
DK,11,2019,5487,3822,8.0,0.0,6.0,
DK,12,2020,14185,18337,45.0,0.0,0.0,
DK,13,2021,24832,40455,76.0,0.0,0.0,
DK,14,2022,30718,26425,6.0,,,
DK,15,2023,62618,16665,1.0,,1.0,
DK,16,2024,89568,7092,0.0,,,
DK,17,2025,14926,502,0.0,,,
NL,0,2008,0,0,,,600.0,
NL,1,2009,28,2,,,900.0,
NL,2,2010,86,0,,4694.0,412.0,
NL,3,2011,849,15,,7912.0,673.0,
NL,4,2012,828,4326,,8918.0,1104.0,
NL,5,2013,3118,19673,,3961.0,623.0,
NL,6,2014,3238,11828,,1206.0,3165.0,
NL,7,2015,3797,39150,14.0,518.0,755.0,
NL,8,2016,4025,18775,14.0,982.0,659.0,
NL,9,2017,7961,1165,3.0,1286.0,962.0,
NL,10,2018,24033,2820,13.0,1015.0,1055.0,
NL,11,2019,61696,4931,156.0,524.0,246.0,
NL,12,2020,73129,15933,148.0,2062.0,55.0,
NL,13,2021,64419,31049,122.0,1658.0,25.0,
NL,14,2022,73126,34411,89.0,2262.0,17.0,
NL,15,2023,113587,46920,40.0,2395.0,6.0,
NL,16,2024,132166,52576,0.0,2182.0,,
NL,17,2025,21240,9758,0.0,103.0,,
NO,0,2008,243,0,,,,
NO,1,2009,145,0,,,,
NO,2,2010,380,0,,,,
NO,3,2011,2009,1,,,,
NO,4,2012,4256,340,,,,
NO,5,2013,7875,489,,,,
NO,6,2014,17999,1698,,,,
NO,7,2015,25551,7857,19.0,0.0,,
NO,8,2016,23878,20652,23.0,,5.0,
NO,9,2017,32836,29144,55.0,,40.0,
NO,10,2018,46111,26539,52.0,,62.0,
NO,11,2019,60305,19115,29.0,0.0,16.0,
NO,12,2020,76734,28825,15.0,0.0,5.0,
NO,13,2021,113613,38163,36.0,0.0,0.0,
NO,14,2022,138287,16129,27.0,,,
NO,15,2023,103946,10136,2.0,,1.0,
NO,16,2024,114315,3496,9.0,,,
NO,17,2025,17431,231,0.0,,,
SE,0,2008,0,0,,,1367.0,
SE,1,2009,18,0,,,6116.0,
SE,2,2010,56,2,,,6692.0,
SE,3,2011,183,0,,,6609.0,
SE,4,2012,267,657,,,5430.0,
SE,5,2013,453,1103,,1.0,3859.0,
SE,6,2014,1370,3300,,,5016.0,
SE,7,2015,3103,5408,1.0,,5109.0,
SE,8,2016,3219,10027,18.0,,3443.0,
SE,9,2017,4403,15548,14.0,,3264.0,
SE,10,2018,7263,21375,5.0,,3236.0,
SE,11,2019,15594,24431,2.0,,4966.0,
SE,12,2020,27897,65831,5.0,0.0,3524.0,
SE,13,2021,57454,77842,16.0,,1386.0,
SE,14,2022,94603,66485,2.0,,1881.0,
SE,15,2023,111338,61186,2.0,,2061.0,
SE,16,2024,94333,62751,2.0,,1122.0,
SE,17,2025,12558,9570,0.0,,0.0,
